Name,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
BAILEY,SERGEANT,POLICE,F,Salary,,101442.00,
BAKER,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BAKER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BANKS,POLICE OFFICER,POLICE,F,Salary,,80778.00,
BARKER,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Salary,,71780.00,
BARNES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BARNETT,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BARRERA,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BARRETT,LIEUTENANT,FIRE,F,Salary,,110370.00,
BARRY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BATES,POLICE OFFICER,POLICE,F,Salary,,80778.00,
BECK,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BELL,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BELL,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
BENNETT,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BENSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BERG,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BERRY,POLICE OFFICER,POLICE,F,Salary,,80778.00,
BLACK,COMMANDER,POLICE,F,Salary,,118608.00,
BLAIR,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BLAKE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BOONE,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
BOOTH,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BOWMAN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BOYD,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BRADLEY,CAPTAIN,FIRE,F,Salary,,107742.00,
BRADY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BRENNAN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BROOKS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BROWN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BROWN,GENERAL LABORER - DSS,STREETS & SAN,F,Salary,,65520.00,
BROWN,CLERK IV,FINANCE,F,Salary,,55956.00,
BRUCE,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BRYANT,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BURKE,LIEUTENANT,POLICE,F,Salary,,110370.00,
BURNS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
BURTON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
BUTLER,POLICE OFFICER,POLICE,F,Salary,,80778.00,
BYRD,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CABRERA,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CALDWELL,HOISTING ENGINEER,WATER MGMT,F,Salary,,95472.00,
CAMPBELL,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CAMPOS,POLICE OFFICER,POLICE,F,Salary,,80778.00,
CANNON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CARLSON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CARPENTER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CARR,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CARROLL,SERGEANT,POLICE,F,Salary,,101442.00,
CARTER,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CARTER,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
CASEY,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CASTILLO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CASTRO,POLICE OFFICER,POLICE,F,Salary,,80778.00,
CHAMBERS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CHAN,CIVIL ENGINEER IV,WATER MGMT,F,Salary,,101442.00,
CHANDLER,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CHANG,STAFF ASST,FINANCE,F,Salary,,67944.00,
CHAPMAN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CHEN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CHRISTENSEN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CLARK,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CLARK,CHIEF OPERATING ENGINEER,AVIATION,F,Salary,,106104.00,
CLAY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
COLE,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
COLEMAN,POLICE OFFICER,POLICE,F,Salary,,80778.00,
COLLINS,SERGEANT,POLICE,F,Salary,,101442.00,
COOK,POLICE OFFICER,POLICE,F,Salary,,84054.00,
COOPER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CORTEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
COX,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CRAIG,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CRAWFORD,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CROSS,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
CRUZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CUNNINGHAM,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
CURRY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
CURTIS,LIEUTENANT,FIRE,F,Salary,,110370.00,
DANIELS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DAVIDSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
DAVIS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DAVIS,CROSSING GUARD,POLICE,P,Hourly,20,,17.68
DAWSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
DEAN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DELGADO,POLICE OFFICER,POLICE,F,Salary,,80778.00,
DENNIS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
DIAZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DIXON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DOMINGUEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DONOVAN,CAPTAIN,FIRE,F,Salary,,107742.00,
DOUGLAS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DOYLE,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
DRAKE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DUFFY,BATTALION CHIEF,FIRE,F,Salary,,118608.00,
DUNCAN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
DUNN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
EDWARDS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ELLIOTT,POLICE OFFICER,POLICE,F,Salary,,80778.00,
ELLIS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
ERICKSON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ESPINOZA,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ESTRADA,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
EVANS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FARMER,CROSSING GUARD,POLICE,P,Hourly,20,,17.68
FERGUSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
FERNANDEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FIELDS,POLICE OFFICER,POLICE,F,Salary,,80778.00,
FISHER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
FITZGERALD,DEPUTY COMMISSIONER,WATER MGMT,F,Salary,,132972.00,
FLEMING,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FLORES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FLOYD,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
FORD,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FOSTER,POLICE OFFICER,POLICE,F,Salary,,80778.00,
FOX,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
FRANCIS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FRANK,MOTOR TRUCK DRIVER,STREETS & SAN,F,Salary,,71780.00,
FRANKLIN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
FREEMAN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GALLAGHER,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GALLEGOS,POLICE OFFICER,POLICE,F,Salary,,80778.00,
GARCIA,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GARCIA,LABORER,WATER MGMT,F,Salary,,71780.00,
GARDNER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GARRETT,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GEORGE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GIBSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GILBERT,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GOMEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GONZALEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GONZALEZ,CROSSING GUARD,POLICE,P,Hourly,20,,17.68
GORDON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GRAHAM,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GRANT,POLICE OFFICER,POLICE,F,Salary,,80778.00,
GRAVES,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GRAY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GREEN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GREEN,COMMISSIONER,BUILDINGS,F,Salary,,132972.00,
GRIFFIN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
GROSS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GUERRERO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
GUTIERREZ,POLICE OFFICER,POLICE,F,Salary,,80778.00,
GUZMAN,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
HALE,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HALL,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HAMILTON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HAMPTON,CROSSING GUARD,POLICE,P,Hourly,20,,17.68
HANSEN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HARDY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HARPER,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HARRIS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HARRIS,CHIEF ENGINEER,BUILDINGS,F,Salary,,106104.00,
HARRISON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HART,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HARVEY,POLICE OFFICER,POLICE,F,Salary,,80778.00,
HAWKINS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HAYES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HENDERSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HENRY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HERNANDEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HERRERA,POLICE OFFICER,POLICE,F,Salary,,80778.00,
HICKS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HILL,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HOFFMAN,ASST COMMISSIONER,TRANSPORTN,F,Salary,,118608.00,
HOLLAND,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HOLMES,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HOPKINS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HOWARD,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HOWELL,TRAFFIC CONTROL AIDE,TRANSPORTN,P,Hourly,20,,19.86
HUDSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
HUGHES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
HUNT,POLICE OFFICER,POLICE,F,Salary,,80778.00,
HUNTER,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
JACKSON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JACKSON,GENERAL LABORER - DSS,STREETS & SAN,F,Salary,,65520.00,
JAMES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JENKINS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
JENSEN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JIMENEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JOHNSON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JOHNSON,CHIEF FINANCIAL OFFICER,FINANCE,F,Salary,,169992.00,
JONES,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JONES,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
JORDAN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
JUAREZ,POLICE OFFICER,POLICE,F,Salary,,80778.00,
KANG,STRUCTURAL ENGINEER,BUILDINGS,F,Salary,,101442.00,
KAUFMAN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
KELLY,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
KENNEDY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
KIM,POLICE OFFICER,POLICE,F,Salary,,84054.00,
KING,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
KNIGHT,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LAMBERT,ELECTRICAL MECHANIC,AVIATION,F,Salary,,91520.00,
LANE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LARSON,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
LAWRENCE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LEE,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LEE,FOREMAN OF LABORERS,TRANSPORTN,F,Salary,,92524.00,
LEWIS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LONG,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
LOPEZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
LOWE,POLICE OFFICER,POLICE,F,Salary,,80778.00,
LUNA,SANITATION LABORER,STREETS & SAN,F,Salary,,65520.00,
LYNCH,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
MALDONADO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
MANN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
