PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S
29,1,3,"O'Dwyer, Miss. Ellen",female,,0,0,330959,7.8792,,Q
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C
36,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,236852,52,,S
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S51,0,1,"Thomas, Dr. John",male,71.5,0,0,A/5 99246,65.6043,E10,S
52,0,2,"Anderson, Rev. Jonathan",male,60.9,0,0,C.A. 164032,15.4738,C78,S
53,0,3,"Thompson, Miss. Susan",female,43.4,4,0,308419,27.621,E44,C
54,1,1,"Rivera, Mrs. Pamela",female,78.8,1,1,W./C. 292476,108.9902,C85,S
55,0,3,"Moore, Ms. Margaret",female,,0,0,SC/Paris 172339,17.1206,C46,Q
56,0,3,"Anderson, Mr. Kenneth",male,6.2,2,0,S.C./A.4. 223955,22.6455,D10,C
57,1,2,"Rodriguez, Miss. Karen",female,47.2,1,0,SC/Paris 146051,28.4192,,C
58,1,2,"Baker, Master. Charles",male,13.9,0,4,A/5 714328,37.7118,F4,C
59,1,2,"Jackson, Mrs. Carol",female,70.2,0,0,PC 533342,46.1556,E46,S
60,0,1,"Carter, Dr. Charles",male,73.6,0,0,STON/O2. 975230,92.2788,C54,S
61,0,3,"Garcia, Mr. Larry",male,43.1,0,0,174148,11.4806,E36,S
62,0,2,"Rivera, Master. Jonathan",male,6.4,0,0,SC/Paris 68136,20.8758,E33,S
63,0,3,"Rivera, Mr. James",male,68.9,0,0,SOTON/OQ 225643,19.3221,E31,S
64,0,1,"Gonzalez, Rev. Jacob",male,33.5,1,0,STON/O2. 64556,99.6044,C78,C
65,0,3,"Gonzalez, Master. Donald",male,,0,1,STON/O2. 465656,27.0094,E25,S
66,0,2,"Hernandez, Master. David",male,12.7,0,0,W./C. 279085,46.7668,D26,S
67,1,1,"Jackson, Mrs. Karen",female,5.8,0,0,SOTON/OQ 528276,195.1027,E12,S
68,0,1,"Hill, Mr. Daniel",male,75.4,0,0,A/5 650468,40.3505,F2,S
69,1,3,"Nelson, Mrs. Dorothy",female,54.1,0,0,STON/O2. 10767,17.007,E31,Q
70,0,2,"Allen, Master. Jonathan",male,12.4,0,0,738715,19.3108,E50,S
71,1,1,"Taylor, Mrs. Susan",female,22.5,0,0,SC/Paris 721892,142.4072,C23,S
72,1,2,"Green, Mrs. Linda",female,,1,0,C.A. 170430,38.6142,E25,S
73,0,3,"Hall, Mr. Joseph",male,47.0,0,0,C.A. 383364,29.6109,,C
74,0,3,"Thompson, Mr. Donald",male,50.0,0,2,PC 839742,27.0881,D15,S
75,1,3,"Mitchell, Ms. Rebecca",female,9.5,1,1,SC/Paris 210267,27.2544,D26,S
76,1,1,"Nelson, Mr. Mark",male,77.4,0,0,W./C. 713526,206.5165,E24,S
77,0,3,"Lopez, Dr. Joseph",male,,0,0,S.C./A.4. 458592,21.2376,E10,S
78,0,2,"Rivera, Mr. Steven",male,55.3,3,0,SC/Paris 382913,24.9771,F2,Q
79,0,3,"Martin, Ms. Jessica",female,56.1,0,0,W./C. 711219,25.2966,B28,S
80,1,2,"Smith, Ms. Stephanie",female,48.9,0,0,SC/Paris 537004,26.8202,A20,S
81,1,3,"Green, Ms. Angela",female,19.6,0,1,PC 26611,5.2217,D33,S
82,0,3,"Green, Rev. Ryan",male,32.6,0,0,STON/O2. 817232,16.0592,B28,C
83,1,3,"Thomas, Ms. Linda",female,,0,0,625377,12.9747,D20,S
84,1,3,"Hernandez, Miss. Brenda",female,20.5,0,1,509136,21.825,C46,S
85,1,2,"Perez, Miss. Ashley",female,,0,0,SC/Paris 68348,24.2542,C78,S
86,1,2,"Clark, Mrs. Linda",female,2.5,1,0,SOTON/OQ 7182,47.4806,C54,C
87,0,3,"Mitchell, Ms. Anna",female,18.3,0,0,S.C./A.4. 702364,23.3235,D10,C
88,1,1,"Wright, Ms. Sarah",female,3.1,0,0,SOTON/OQ 191556,34.4926,C93,S
89,1,3,"Carter, Miss. Michelle",female,34.3,1,0,55615,32.4974,C82,S
90,1,1,"Thomas, Mr. Robert",male,,0,0,SC/Paris 488623,154.4611,C85,S
91,0,3,"Miller, Dr. Christopher",male,72.7,0,2,SC/Paris 80688,20.834,E46,S
92,1,3,"Torres, Mrs. Nicole",female,30.3,0,0,W./C. 863276,17.9198,D17,Q
93,0,3,"Lopez, Miss. Karen",female,64.8,0,0,W./C. 866845,24.8073,C46,S
94,0,2,"Lewis, Dr. David",male,30.9,0,1,PC 512233,15.3333,C23,S
95,1,3,"King, Mrs. Brenda",female,39.6,1,0,SOTON/OQ 470945,26.5779,,S
96,1,3,"Nelson, Miss. Ashley",female,34.6,1,0,SOTON/OQ 285076,12.6694,B51,S
97,0,3,"Mitchell, Mr. Kenneth",male,,0,0,626780,11.9938,,C
98,1,2,"Lopez, Miss. Sandra",female,,0,0,C.A. 732295,47.5399,E46,C
99,1,2,"Torres, Mrs. Susan",female,77.3,0,1,STON/O2. 863050,8.8751,D36,S
100,1,3,"Torres, Master. Charles",male,8.0,0,0,SC/Paris 814373,18.8456,D20,C
101,1,3,"Martin, Miss. Emma",female,8.8,1,0,C.A. 693509,6.222,C22,S
102,0,3,"Clark, Mr. Christopher",male,19.3,1,0,SOTON/OQ 75637,23.5592,C23,C
103,1,1,"Wright, Mr. Jason",male,12.2,0,1,C.A. 461485,48.1806,F33,S
104,1,3,"Wright, Ms. Kimberly",female,,0,0,C.A. 28121,6.5119,F4,C
105,0,3,"Carter, Mr. Paul",male,73.4,0,0,SOTON/OQ 96674,17.3423,D15,S
106,0,3,"Clark, Dr. Christopher",male,65.3,0,0,S.C./A.4. 265659,13.1456,D10,C
107,0,1,"Clark, Rev. Jonathan",male,40.4,0,0,C.A. 576898,49.4112,C52,S
108,1,3,"Green, Mrs. Jessica",female,,0,0,STON/O2. 236615,32.2786,A10,S
109,0,2,"Rivera, Rev. Charles",male,39.1,0,0,PC 403219,14.3869,E36,S
110,0,3,"Roberts, Dr. William",male,41.1,1,0,C.A. 879157,20.6864,F2,S
111,0,2,"Thompson, Rev. Jeffrey",male,74.7,1,5,SC/Paris 600573,22.8507,D15,S
112,0,3,"Nelson, Miss. Deborah",female,,4,0,S.C./A.4. 912946,6.7704,D20,S
113,1,2,"Martinez, Ms. Mary",female,,0,3,S.C./A.4. 654534,36.479,E50,S
114,0,3,"Lee, Miss. Anna",female,43.7,0,0,C.A. 239536,25.2575,D17,Q
115,1,2,"Hall, Master. Jeffrey",male,1.3,0,0,SC/Paris 557968,24.1303,F4,C
116,0,3,"Flores, Mr. Daniel",male,73.1,0,0,C.A. 482894,11.2023,,C
117,1,1,"Wright, Ms. Emily",female,47.4,0,0,C.A. 480027,181.4122,B35,Q
118,0,3,"Harris, Mrs. Susan",female,24.3,4,0,C.A. 9491,20.0856,F4,C
119,0,3,"Jackson, Rev. Scott",male,18.3,0,0,PC 659765,6.6789,E46,S
120,1,2,"Nguyen, Mrs. Laura",female,26.8,0,0,920035,48.7455,E12,S
121,1,3,"Walker, Miss. Lisa",female,64.5,0,0,SC/Paris 902922,23.2429,F4,Q
122,1,2,"Smith, Miss. Elizabeth",female,60.2,0,0,S.C./A.4. 114609,35.6928,D33,S
123,1,1,"Adams, Mrs. Helen",female,24.9,0,0,A/5 320149,209.2474,A10,S
124,0,3,"White, Rev. Timothy",male,34.1,1,0,W./C. 687735,6.732,D36,S
125,1,1,"White, Ms. Jennifer",female,29.7,5,0,S.C./A.4. 64491,98.7762,B35,Q
126,0,3,"Wilson, Ms. Elizabeth",female,,1,0,PC 826206,20.0469,,C
127,1,2,"Anderson, Master. Justin",male,0.5,1,0,PC 567456,17.0288,B28,S
128,0,3,"Thompson, Mr. Thomas",male,14.8,0,0,120169,25.226,D33,S
129,1,3,"Miller, Ms. Angela",female,58.5,1,0,C.A. 481292,22.2995,,S
130,1,1,"Baker, Miss. Stephanie",female,72.0,0,0,PC 289375,140.5739,E33,S
131,1,2,"King, Ms. Deborah",female,63.7,0,0,756855,44.0817,D17,S
132,0,2,"Robinson, Dr. Edward",male,25.7,0,2,SOTON/OQ 71394,10.0139,,S
133,0,1,"Scott, Master. George",male,9.5,0,1,W./C. 911260,194.4479,,Q
134,1,3,"Torres, Mrs. Amanda",female,67.9,0,0,STON/O2. 800649,11.8671,B51,C
135,0,1,"Johnson, Dr. Scott",male,27.8,0,1,W./C. 73965,51.4184,E46,Q
136,0,2,"Harris, Master. Eric",male,10.2,1,0,STON/O2. 927251,8.3148,A20,C
137,0,3,"Lewis, Dr. David",male,22.6,1,0,W./C. 117276,12.0008,F4,S
138,1,3,"Sanchez, Mrs. Jennifer",female,75.7,1,1,C.A. 345061,7.3316,D36,C
139,0,3,"Wright, Rev. Thomas",male,64.7,0,1,A/5 458409,4.436,,C
140,1,3,"Rivera, Miss. Pamela",female,77.3,0,2,SOTON/OQ 873442,23.6228,C85,S
141,1,2,"Nguyen, Rev. Donald",male,59.9,0,1,STON/O2. 536280,33.8619,E12,S
142,1,3,"Adams, Ms. Amanda",female,,0,0,STON/O2. 186751,31.107,E46,S
143,1,3,"Green, Ms. Pamela",female,26.0,0,0,C.A. 836012,11.7557,,S
144,1,1,"Lewis, Rev. Joshua",male,51.9,4,0,404159,110.7091,E25,Q
145,0,3,"Lee, Master. Jeffrey",male,6.6,1,1,STON/O2. 530057,22.3792,,S
146,1,3,"King, Ms. Laura",female,31.6,1,0,A/5 828564,21.9434,C78,S
147,0,2,"Jackson, Rev. Stephen",male,48.6,0,0,PC 962278,21.3921,E50,S
148,1,3,"Rivera, Ms. Sarah",female,63.5,1,0,98992,22.3763,D17,S
149,0,3,"Lopez, Dr. George",male,16.2,5,0,C.A. 886447,26.4402,E10,C
150,0,2,"Hill, Master. Kevin",male,10.9,1,0,SOTON/OQ 46814,24.0778,F4,S
151,1,3,"Carter, Miss. Helen",female,25.4,1,0,SC/Paris 386709,23.2996,E31,Q
152,0,3,"Allen, Miss. Emily",female,64.3,0,0,SOTON/OQ 917578,14.5167,,S
153,0,1,"Carter, Mr. Andrew",male,66.7,0,2,SOTON/OQ 928601,89.8033,,S
154,1,2,"Thomas, Miss. Angela",female,26.2,0,0,S.C./A.4. 830822,12.4262,,S
155,1,2,"Walker, Ms. Sarah",female,,0,1,986898,37.9983,E12,S
156,1,1,"Davis, Miss. Ashley",female,37.1,0,2,18233,141.9853,E31,S
157,0,3,"Smith, Rev. Andrew",male,53.5,0,4,STON/O2. 552613,19.4607,E10,S
158,1,2,"Green, Mrs. Kathleen",female,29.2,0,0,STON/O2. 809977,31.6037,C78,S
159,1,1,"Adams, Miss. Anna",female,55.9,0,1,STON/O2. 751827,168.64,D26,S
160,0,2,"Williams, Master. Robert",male,11.5,0,0,SC/Paris 301009,21.7069,,C
161,1,2,"White, Mrs. Kimberly",female,76.6,0,0,SOTON/OQ 386191,46.6697,E12,S
162,0,3,"Ramirez, Mr. Jason",male,26.4,0,0,C.A. 468576,21.135,D17,S
163,0,3,"Williams, Miss. Amanda",female,35.4,0,1,A/5 79686,23.0959,D10,S
164,0,3,"Hill, Master. John",male,,0,0,S.C./A.4. 402451,31.0548,,S
165,0,3,"Lewis, Miss. Melissa",female,32.4,0,0,STON/O2. 28172,24.9403,D36,S
166,0,2,"Rivera, Dr. Steven",male,73.4,0,0,STON/O2. 475001,13.5969,G6,S
167,0,1,"Rivera, Dr. Kenneth",male,68.3,1,2,PC 833250,92.0038,B51,S
168,0,1,"Young, Master. Thomas",male,11.3,0,0,STON/O2. 69941,82.3569,G6,S
169,1,1,"Jones, Ms. Rebecca",female,,0,0,PC 921607,178.4091,E25,S
170,1,3,"Allen, Rev. Thomas",male,,0,0,S.C./A.4. 981143,24.1869,C82,Q
171,0,3,"Gonzalez, Miss. Elizabeth",female,,0,0,673124,8.723,E33,S
172,1,1,"Johnson, Mrs. Pamela",female,21.9,0,0,A/5 523230,189.4866,E24,S
173,1,2,"Baker, Mrs. Kathleen",female,13.5,0,0,S.C./A.4. 637129,12.3214,G6,S
174,1,2,"Carter, Mrs. Stephanie",female,37.9,0,0,STON/O2. 54063,18.7693,C93,C
175,0,3,"Lee, Mrs. Ashley",female,,0,6,SOTON/OQ 523987,29.0416,D36,S
176,1,1,"Thomas, Miss. Angela",female,,0,2,SOTON/OQ 300628,124.3805,,S
177,1,1,"White, Miss. Melissa",female,29.6,0,0,SOTON/OQ 802535,126.8136,E44,S
178,0,2,"Sanchez, Mr. Thomas",male,29.9,0,0,W./C. 525369,7.7712,,S
179,1,1,"Robinson, Ms. Kathleen",female,,2,0,W./C. 647447,161.8262,C54,S
180,1,3,"Walker, Miss. Pamela",female,78.4,0,1,A/5 626905,17.4733,E50,C
181,0,3,"Hernandez, Rev. Michael",male,31.0,1,0,STON/O2. 201051,4.4416,C65,S
182,0,3,"Allen, Miss. Margaret",female,59.1,0,0,SC/Paris 589132,13.1964,F2,S
183,1,3,"Robinson, Mrs. Michelle",female,62.0,1,0,C.A. 640711,17.7476,C22,S
184,1,2,"Roberts, Miss. Sandra",female,26.0,0,2,C.A. 302769,11.3625,F4,S
185,1,1,"Jackson, Mrs. Amanda",female,,2,0,SOTON/OQ 225381,62.5422,E24,S
186,1,3,"Flores, Mrs. Sarah",female,,1,0,SC/Paris 56040,6.7657,C78,S
187,0,3,"Scott, Mr. Thomas",male,70.6,0,0,C.A. 337768,12.0629,,C
188,0,3,"Wright, Master. Larry",male,,2,0,PC 980288,30.2016,D10,C
189,0,2,"Smith, Mr. Andrew",male,27.5,0,0,518904,45.1274,A14,C
190,1,2,"Davis, Mrs. Kimberly",female,57.8,0,0,C.A. 596361,35.6737,B35,S
191,1,1,"Lee, Ms. Sharon",female,,0,0,SC/Paris 8161,73.3931,C22,S
192,1,3,"Nguyen, Miss. Carol",female,55.7,0,0,C.A. 168475,15.4949,E10,Q
193,1,2,"Jackson, Ms. Jessica",female,38.8,0,5,S.C./A.4. 437045,36.8854,D33,C
194,0,2,"King, Mr. Donald",male,,0,0,947746,28.2414,E31,S
195,0,3,"Davis, Rev. Kenneth",male,72.0,0,0,PC 539179,15.7811,E31,S
196,1,2,"Johnson, Ms. Donna",female,46.7,0,0,STON/O2. 568451,49.7414,,Q
197,1,1,"Clark, Miss. Jennifer",female,58.6,4,0,W./C. 471325,185.9058,C93,S
198,0,3,"Lopez, Mr. Brian",male,,4,1,A/5 313856,17.1419,E24,S
199,1,2,"Robinson, Mrs. Sandra",female,58.3,0,1,W./C. 645793,39.7064,,S
200,0,3,"Lewis, Mr. Richard",male,,1,0,SC/Paris 566979,10.1139,,S
201,1,2,"Torres, Ms. Sandra",female,26.3,0,0,232780,24.1966,C46,S
202,0,3,"Brown, Rev. Jason",male,63.1,0,0,PC 315455,14.6668,E24,S
203,0,3,"Robinson, Master. Joshua",male,8.0,0,0,SC/Paris 347305,22.3958,D20,C
204,0,2,"Brown, Master. Jonathan",male,12.3,0,1,228558,27.0933,C78,S
205,0,1,"Mitchell, Master. Anthony",male,3.8,0,0,SC/Paris 579897,84.6345,C52,S
206,1,3,"White, Miss. Donna",female,,5,0,S.C./A.4. 959745,9.7094,C65,S
207,0,3,"Taylor, Mr. Charles",male,24.3,0,0,SC/Paris 524555,19.6484,F4,S
208,1,3,"Hernandez, Miss. Amy",female,,0,0,673985,31.277,E12,S
209,0,1,"Clark, Mr. Michael",male,,0,0,SOTON/OQ 392329,36.3712,E46,S
210,1,3,"Smith, Mrs. Amy",female,,1,0,C.A. 18975,18.2634,F33,S
211,1,1,"King, Mr. Richard",male,65.4,0,0,S.C./A.4. 426750,110.0228,C22,Q
212,0,3,"Adams, Mr. Joshua",male,,0,0,SOTON/OQ 59840,22.111,F33,S
213,0,3,"Perez, Ms. Sharon",female,,0,0,SC/Paris 946053,28.7281,E31,S
214,1,3,"Wright, Dr. William",male,25.8,4,0,W./C. 974995,6.1004,A20,S
215,1,3,"Harris, Miss. Anna",female,58.2,0,4,A/5 103430,16.4007,,S
216,0,2,"Green, Mrs. Michelle",female,29.1,3,0,W./C. 90856,39.9754,C52,C
217,0,2,"Martinez, Dr. David",male,,0,0,STON/O2. 6447,47.4903,D20,S
218,1,1,"Garcia, Mrs. Susan",female,33.2,0,0,STON/O2. 626920,135.7185,C65,C
219,0,3,"Harris, Rev. Andrew",male,79.4,0,0,W./C. 178735,7.8708,C54,S
220,0,2,"Ramirez, Master. William",male,5.4,3,0,SOTON/OQ 623651,33.1334,D26,S
221,1,3,"Perez, Miss. Mary",female,35.8,0,1,PC 316029,13.071,F33,S
222,1,2,"Lee, Miss. Nancy",female,46.5,0,0,W./C. 383746,11.0111,E31,S
223,0,3,"Campbell, Mr. Stephen",male,24.0,1,1,W./C. 706668,18.1801,E46,S
224,1,3,"Ramirez, Ms. Karen",female,38.9,0,0,W./C. 571053,4.9515,C85,S
225,0,3,"Nelson, Master. Richard",male,8.1,0,0,S.C./A.4. 835908,16.211,,S
226,0,2,"Lewis, Master. Nicholas",male,9.8,0,6,SOTON/OQ 110627,18.999,,S
227,0,3,"Perez, Dr. Brian",male,38.6,0,0,S.C./A.4. 71437,12.4876,G6,S
228,0,3,"Hernandez, Ms. Susan",female,44.6,0,0,SOTON/OQ 244118,26.7158,E46,S
229,1,3,"Mitchell, Mrs. Stephanie",female,31.7,1,0,STON/O2. 606393,6.8101,E24,S
230,1,2,"Davis, Miss. Betty",female,51.5,0,0,STON/O2. 365825,21.4873,D26,S
231,1,3,"Garcia, Ms. Helen",female,10.2,0,0,W./C. 439555,20.9578,E31,S
232,1,1,"Scott, Master. Gary",male,,1,0,S.C./A.4. 999078,26.971,A14,S
233,0,3,"Adams, Ms. Brenda",female,67.4,0,0,A/5 835541,25.6662,C52,S
234,0,3,"Hernandez, Dr. Jonathan",male,40.1,0,0,C.A. 813764,19.4328,C85,S
235,0,1,"Ramirez, Master. Jeffrey",male,4.5,5,0,S.C./A.4. 905081,176.1314,D20,C
236,0,3,"Mitchell, Master. Donald",male,9.0,0,0,SC/Paris 854047,9.8186,,S
237,1,2,"Hernandez, Ms. Nicole",female,22.1,1,5,STON/O2. 143175,48.362,D15,Q
238,1,2,"Rodriguez, Ms. Sarah",female,61.2,0,0,C.A. 659309,24.2259,D20,S
239,0,3,"Hall, Dr. Ronald",male,26.9,0,1,STON/O2. 767437,31.7035,E46,S
240,1,1,"Sanchez, Ms. Barbara",female,22.2,1,0,PC 594643,182.7277,C78,C
241,0,3,"Green, Mr. Robert",male,,1,0,A/5 449580,9.6863,F33,C
242,1,3,"Garcia, Miss. Lisa",female,72.4,0,0,C.A. 762253,23.904,B51,S
243,0,3,"Wilson, Mr. Richard",male,54.7,0,0,STON/O2. 903132,15.9782,A14,S
244,1,3,"Campbell, Mr. Timothy",male,24.6,0,1,PC 673741,32.2981,A16,S
245,0,2,"Lewis, Master. Brandon",male,12.9,0,0,SC/Paris 91898,45.4501,A14,C
246,1,3,"Lee, Miss. Amanda",female,20.6,0,0,C.A. 817808,30.8206,,C
247,0,3,"Hill, Ms. Margaret",female,5.3,1,2,SOTON/OQ 405630,7.1245,D36,S
248,0,3,"White, Mr. Eric",male,45.9,0,0,SOTON/OQ 808788,5.9876,E33,S
249,1,3,"Brown, Mrs. Margaret",female,57.3,1,0,W./C. 87431,22.2194,E24,S
250,1,3,"Garcia, Miss. Elizabeth",female,43.4,0,0,STON/O2. 326236,23.8821,C22,S
251,1,3,"Robinson, Mr. Jason",male,53.0,0,0,PC 736575,4.2246,D36,Q
252,0,3,"Rodriguez, Miss. Lisa",female,10.3,1,0,W./C. 286192,18.8822,C23,S
253,0,2,"Allen, Rev. Gary",male,30.0,0,0,STON/O2. 240499,38.5943,,S
254,0,2,"Walker, Mr. Donald",male,,4,0,W./C. 236421,20.1593,D15,Q
255,1,2,"Torres, Mrs. Kimberly",female,15.2,1,5,W./C. 73274,44.5876,C52,C
256,1,3,"Scott, Mrs. Michelle",female,63.0,1,0,S.C./A.4. 621432,31.6951,B35,C
257,0,1,"Clark, Mr. Charles",male,55.8,0,0,W./C. 891247,161.5977,C54,S
258,0,3,"Brown, Rev. Edward",male,4.5,0,1,W./C. 735891,29.5135,D26,Q
259,0,1,"Allen, Mr. Justin",male,,0,0,PC 249273,79.1017,C65,Q
260,1,2,"Lewis, Miss. Michelle",female,62.6,0,0,PC 472404,26.5064,D15,S
261,0,3,"Martin, Miss. Margaret",female,,1,0,A/5 226465,27.8074,C65,S
262,1,1,"Allen, Rev. Brian",male,14.7,3,1,785417,126.8623,,S
263,0,3,"Brown, Mr. Joseph",male,,1,0,STON/O2. 611610,20.663,,S
264,0,1,"Rodriguez, Rev. Matthew",male,10.7,3,0,W./C. 862599,159.0748,D36,S
265,1,3,"Wilson, Miss. Nancy",female,12.7,0,0,C.A. 524125,15.683,E25,S
266,0,2,"Rodriguez, Rev. Paul",male,20.7,5,0,A/5 402078,40.4043,C82,S
267,1,2,"Allen, Ms. Amanda",female,,0,0,C.A. 62437,41.5808,D33,S
268,0,3,"Thomas, Mr. Christopher",male,73.5,0,6,SC/Paris 604656,28.11,C93,S
269,0,2,"Nguyen, Master. Daniel",male,8.5,1,0,PC 591462,47.7282,D36,S
270,0,1,"Garcia, Mr. Gary",male,,0,0,SC/Paris 846619,49.3145,G6,S
271,0,3,"Martinez, Mrs. Linda",female,67.9,1,3,S.C./A.4. 739761,30.839,D10,S
272,0,3,"Rodriguez, Miss. Donna",female,51.5,0,0,728250,29.3426,E44,C
273,0,2,"Harris, Master. Justin",male,,1,2,W./C. 893083,49.7485,E31,S
274,0,3,"Green, Mrs. Helen",female,,1,0,S.C./A.4. 177042,22.0949,,C
275,1,1,"Taylor, Mrs. Laura",female,63.2,1,0,SOTON/OQ 769170,102.7519,A20,C
276,1,2,"Wright, Miss. Deborah",female,46.7,1,0,SOTON/OQ 78289,41.1646,,S
277,1,2,"Jones, Mrs. Dorothy",female,,0,2,STON/O2. 355366,32.1373,E44,C
278,0,3,"Hill, Master. Jason",male,,0,0,758111,30.3714,E24,S
279,1,1,"Miller, Mrs. Donna",female,13.1,0,0,C.A. 864918,147.5413,E36,S
280,0,3,"Hernandez, Master. John",male,2.1,1,0,C.A. 96563,22.2574,C93,S
281,1,1,"Lewis, Mrs. Melissa",female,67.1,0,0,STON/O2. 90870,148.6725,E24,S
282,0,3,"Harris, Mr. Stephen",male,69.5,0,2,SOTON/OQ 314369,6.1581,G6,S
283,0,3,"Lopez, Rev. Joseph",male,16.2,0,0,W./C. 212727,32.4219,E46,S
284,1,1,"Jones, Ms. Michelle",female,68.7,0,2,A/5 825758,154.6362,E33,S
285,1,1,"Martinez, Miss. Jessica",female,75.2,2,0,STON/O2. 824914,78.07,E24,C
286,0,3,"Adams, Miss. Dorothy",female,,0,0,W./C. 41666,15.2197,C78,S
287,0,1,"White, Dr. Jacob",male,23.1,0,0,STON/O2. 912107,67.3265,C54,Q
288,1,2,"Campbell, Miss. Michelle",female,,0,1,SOTON/OQ 797386,28.7261,C85,C
289,0,3,"Rivera, Dr. William",male,70.5,0,0,SC/Paris 878633,5.5481,,S
290,0,3,"White, Miss. Betty",female,10.8,0,0,SOTON/OQ 187209,31.3709,D33,S
291,0,3,"Taylor, Mrs. Amanda",female,31.5,0,0,SC/Paris 899746,10.2306,B51,S
292,0,3,"Johnson, Ms. Rebecca",female,38.5,0,0,A/5 235639,11.1184,C54,S
